width,height,aspect_ratio,mean_r,mean_g,mean_b,std_r,std_g,std_b,generator,class,split,path,aspect_ratio_cat
256,256,1.0,0.5219035148620605,0.48875662684440613,0.4090895652770996,0.2463873028755188,0.22430351376533508,0.198403462767601,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\225_adm_165.PNG,1:1
256,256,1.0,0.6447003483772278,0.6107158660888672,0.5982333421707153,0.3675759732723236,0.38699963688850403,0.3942076861858368,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\827_adm_144.PNG,1:1
256,256,1.0,0.6229703426361084,0.2551037073135376,0.2615928649902344,0.1801649034023285,0.18077057600021362,0.17333555221557617,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\636_adm_83.PNG,1:1
256,256,1.0,0.4900968074798584,0.4879501163959503,0.5010069608688354,0.2524830400943756,0.26166659593582153,0.2784114181995392,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\670_adm_14.PNG,1:1
256,256,1.0,0.472738116979599,0.4513544738292694,0.392356812953949,0.15998993813991547,0.17886397242546082,0.18445824086666107,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\363_adm_90.PNG,1:1
256,256,1.0,0.7999051213264465,0.7559690475463867,0.7440746426582336,0.13115563988685608,0.17941828072071075,0.19807495176792145,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\78_adm_112.PNG,1:1
256,256,1.0,0.43423131108283997,0.3439531624317169,0.29926300048828125,0.21345031261444092,0.27837201952934265,0.33532875776290894,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\967_adm_136.PNG,1:1
256,256,1.0,0.4619844853878021,0.4461948573589325,0.4170352816581726,0.22661833465099335,0.20490768551826477,0.2246989905834198,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\105_adm_183.PNG,1:1
256,256,1.0,0.1486491560935974,0.5306022763252258,0.6947141885757446,0.12850810587406158,0.18882930278778076,0.21236306428909302,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\33_adm_30.PNG,1:1
256,256,1.0,0.4801185429096222,0.3438493609428406,0.2911289632320404,0.2706723213195801,0.31624820828437805,0.30106332898139954,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\857_adm_21.PNG,1:1
256,256,1.0,0.7090585827827454,0.6617982387542725,0.6524127721786499,0.19070793688297272,0.21757477521896362,0.2240481674671173,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\591_adm_98.PNG,1:1
256,256,1.0,0.4207245409488678,0.4667677879333496,0.5330125689506531,0.21646489202976227,0.1895606964826584,0.1689293384552002,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\598_adm_148.PNG,1:1
256,256,1.0,0.406303733587265,0.36208340525627136,0.3073132634162903,0.1727805733680725,0.1428917944431305,0.2141370326280594,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\944_adm_75.PNG,1:1
256,256,1.0,0.48876461386680603,0.48464882373809814,0.38534221053123474,0.21406897902488708,0.20860163867473602,0.19947724044322968,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\198_adm_173.PNG,1:1
256,256,1.0,0.3953768014907837,0.43449506163597107,0.48249274492263794,0.11285584419965744,0.12483898550271988,0.1336306482553482,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\554_adm_164.PNG,1:1
256,256,1.0,0.5376027822494507,0.6324905753135681,0.4820777475833893,0.12586966156959534,0.09951262176036835,0.07173969596624374,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\5_adm_105.PNG,1:1
256,256,1.0,0.577218234539032,0.5504425168037415,0.44629573822021484,0.31142163276672363,0.31734561920166016,0.35243213176727295,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\547_adm_155.PNG,1:1
256,256,1.0,0.38305506110191345,0.3218104839324951,0.29763203859329224,0.29469284415245056,0.28034669160842896,0.26915669441223145,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\848_adm_41.PNG,1:1
256,256,1.0,0.44854310154914856,0.5406010746955872,0.42687809467315674,0.1871304214000702,0.2363082319498062,0.20786188542842865,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\264_adm_1.PNG,1:1
256,256,1.0,0.2759949564933777,0.08199253678321838,0.009176544845104218,0.3481582701206207,0.15993168950080872,0.05187620595097542,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\607_adm_84.PNG,1:1
256,256,1.0,0.5827616453170776,0.6000413298606873,0.2555726170539856,0.23816397786140442,0.2550092041492462,0.20256364345550537,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\11_adm_112.PNG,1:1
256,256,1.0,0.4134199023246765,0.43455666303634644,0.47116437554359436,0.25639232993125916,0.23841361701488495,0.23272956907749176,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\249_adm_78.PNG,1:1
256,256,1.0,0.647183358669281,0.6567621827125549,0.6636890769004822,0.32430407404899597,0.32339462637901306,0.31878045201301575,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\867_adm_188.PNG,1:1
256,256,1.0,0.7052243947982788,0.5597487092018127,0.5961849093437195,0.1781768947839737,0.15664979815483093,0.2559593617916107,generador1_ADM_descomprimido,ai,train,data\GenImage\generador1_ADM_descomprimido\train\ai\697_adm_84.PNG,1:1
